tv_show,season_num,season_url,episode_num,episode_url,episode_title,air_date
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,10,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Riding_in_Town_Cars_With_Boys,Riding in Town Cars With Boys,2011-12-05
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_End_of_the_Affair%3F,The End of the Affair?,2012-01-16
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,12,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Father_and_the_Bride,Father and the Bride,2012-01-23
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,13,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/G.G.,G.G.,2012-01-30
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,14,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Backup_Dan,The Backup Dan,2012-02-06
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,15,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Crazy_Cupid_Love,Crazy Cupid Love,2012-02-13
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,16,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cross_Rhodes,Cross Rhodes,2012-02-20
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,17,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Princess_Dowry,The Princess Dowry,2012-02-27
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,18,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Con-Heir,Con-Heir,2012-04-02
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,19,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/It-Girl_Interrupted,It-Girl Interrupted,2012-04-09
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,20,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Salon_of_the_Dead,Salon of the Dead,2012-04-16
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,21,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Despicable_B,Despicable B,2012-04-23
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,22,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Raiders_of_the_Lost_Art,Raiders of the Lost Art,2012-04-30
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,23,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Fugitives,The Fugitives,2012-05-07
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,24,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Return_of_the_Ring,The Return of the Ring,2012-05-14
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gone_Maybe_Gone,Gone Maybe Gone,2012-10-08
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/High_Infidelity,High Infidelity,2012-10-15
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Dirty_Rotten_Scandals,Dirty Rotten Scandals,2012-10-22
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Portrait_of_a_Lady_Alexander,Portrait of a Lady Alexander,2012-11-05
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,5,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Monstrous_Ball,Monstrous Ball,2012-11-12
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Where_the_Vile_Things_Are,Where the Vile Things Are,2012-11-19
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Save_the_Last_Chance,Save the Last Chance,2012-11-26
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Its_Really_Complicated,It's Really Complicated,2012-12-03
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,9,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Revengers,The Revengers,2012-12-10
Gossip Girl Wiki | Fandom,6,https://gossipgirl.fandom.com/wiki/Season_6,10,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/New_York,_I_Love_You_XOXO","New York, I Love You XOXO",2012-12-17
